aid,meanfreq,median,std,iqr,skew,melspectogram,mfcc,spaectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,pitch,Gender
slt_arctic_b0126,42.00000000185336,-12.377807108125126,753314.8016485574,123090.50451974926,-0.12010625136237232,0.0620754137635231,-286.59552001953125,1663.403055013053,1463.9700731319485,26.272222330646898,2938.2126966059614,186.047,female
slt_arctic_b0132,126.00000000010313,21.63870443544958,783661.3603900291,112607.90786955548,-1.6773652600528108,0.07748428732156754,-301.37274169921875,1470.605379369186,1538.933866566594,26.148137465645608,2988.363494020601,188.235,female
slt_arctic_a0026,-49.00000000000589,22.7841094409564,524871.8613322385,77919.0076765343,1.0515487873176248,0.03287389874458313,-301.4102478027344,1446.7132390129145,1549.718525464096,23.685100365551147,2953.5802734375,188.235,female
slt_arctic_a0032,-34.99999999998798,-1.8845048691437114,641707.2665768579,134169.35265836114,0.6547178215492145,0.026664534583687786,-280.69830322265625,2172.0017916390943,1636.1363179110126,23.31313623420609,3715.6143851902175,195.122,female
slt_arctic_b0324,16.000000000006295,-10.937248975282273,499182.4651542581,68914.88317965942,0.3192588216770979,0.26799270510673523,-309.6759338378906,1366.0689224280088,1519.5187109683457,24.68115396448534,2876.624135502049,179.775,female
slt_arctic_b0442,39.000000000047734,-4.722532079877055,533620.3513002872,47776.46121229228,1.8481645329994885,0.030956547707319263,-307.9411315917969,1365.6915935188438,1474.6408014107321,26.098099289559016,2752.377801192434,172.043,female
slt_arctic_a0581,19.999999999986244,20.334640032427586,478719.67095885426,121171.0305214272,-0.09164593689308632,0.0626080334186554,-306.6218566894531,1757.5740163291996,1575.738127295138,24.979783813205987,3333.486661044034,170.213,female
slt_arctic_b0456,20.99999999999751,33.38900850928985,558280.4762966303,57770.16753628075,-3.039768004385834,0.06784605979919434,-307.7202453613281,1282.1225238971094,1529.9435595149407,26.39076986425609,2791.137930063101,188.235,female
slt_arctic_b0330,45.00000000005018,1.6026396314628073,661416.405179601,79311.49961638823,-0.3427772701411222,0.05400970205664635,-281.4815368652344,1367.6502182280276,1521.155692431727,27.187679876597727,2765.5258413461547,173.91299999999995,female
slt_arctic_b0318,8.99999999994919,-4.42673048815459,519914.4609962244,66165.90353422471,-0.6822097645514251,0.1449061632156372,-306.58221435546875,1306.4152796303827,1559.601446432033,26.599349454232698,2937.1059985871007,175.824,female
slt_arctic_a0224,10.999999999992328,-68.55601651568213,516132.94619363145,164339.504175041,0.1297230987844783,0.021641485393047333,-264.11697387695307,2169.7456481698823,1618.7497335306064,24.72094620913025,3772.635591947115,163.265,female
slt_arctic_b0481,-42.00000000001215,25.409254968989444,389614.59363336343,116638.13912353176,-0.053429802802422224,0.03457516059279442,-320.2537841796875,2237.7184631221303,1625.5728811944525,22.2651215405404,3766.34521484375,183.908,female
slt_arctic_a0542,-67.00000000001346,-55.38746599577735,494797.3522169086,109320.39810276794,0.0445995626230417,0.07018261402845383,-297.08551025390625,1779.6142091853092,1523.2877440298005,25.393230534710302,3094.71435546875,173.91299999999995,female
slt_arctic_b0495,19.000000000049265,27.02440091315657,707398.8704376025,139980.61253942817,0.9420870562974905,0.42041265964508057,-308.4568786621094,1504.435086390831,1377.725761912575,26.799320555852702,2687.332534790039,173.91299999999995,female
